bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
4;4;4;4;3;1;50;8;74;68
1;1;4;3;1;26;23;8;53;73
1;2;4;2;2;13;22;24;75;55
3;1;4;1;1;18;38;36;87;43
3;1;4;1;1;13;62;24;77;46
1;1;1;1;1;15;41;29;48;55
2;1;4;1;1;26;31;23;66;57
1;1;1;1;1;21;43;8;46;81
1;1;4;1;2;41;28;26;63;88
1;2;4;1;2;19;14;20;64;85
3;1;4;1;2;20;21;22;51;81
4;3;4;4;3;15;32;17;58;20
3;4;4;3;3;30;49;40;49;101
4;4;4;2;2;50;51;25;76;79
2;3;4;2;2;40;29;12;39;66
2;3;4;2;1;48;33;32;52;95
1;2;1;1;1;24;54;48;70;72
2;1;4;2;2;34;61;23;64;63
1;1;4;2;3;7;19;10;47;106
4;4;4;4;2;13;46;32;62;41
4;4;4;4;3;14;45;14;41;89
1;4;4;4;2;36;29;12;17;80
4;3;4;4;3;23;22;22;36;39
4;4;4;4;3;15;34;24;52;56
1;1;4;2;1;5;36;5;70;60
4;3;4;4;3;34;34;13;63;69
1;4;4;2;3;18;28;35;62;78
1;2;4;3;2;3;43;10;49;46
4;3;4;3;3;32;22;26;76;54
4;4;4;4;3;6;36;29;48;28
3;3;4;1;3;1;18;26;42;68
4;4;4;4;3;24;37;24;76;73
4;4;4;4;3;39;24;19;58;91
3;2;4;2;2;23;43;25;76;100
4;4;4;4;3;19;48;17;69;68
3;4;4;4;3;27;50;40;59;64
1;1;1;4;2;36;49;14;40;89
4;4;4;4;3;27;23;14;58;85
4;4;1;1;1;3;17;41;37;90
3;1;4;1;2;34;67;4;20;26
1;1;4;1;1;93;90;24;36;12
3;2;1;1;1;74;50;3;38;33
2;1;1;1;1;76;95;36;32;5
1;1;4;1;1;50;59;16;18;34
3;2;4;1;1;70;54;7;36;5
1;1;1;1;2;65;80;30;40;28
3;4;4;1;1;41;104;18;41;28
4;1;4;1;1;62;82;12;31;29
1;1;4;1;2;69;70;11;46;24
2;2;4;1;2;46;53;1;50;18
4;4;4;1;2;51;74;16;43;11
1;4;4;1;2;36;44;16;2;7
2;3;1;1;1;46;50;12;32;14
4;4;3;3;3;47;58;25;50;17
1;1;4;4;2;91;87;1;3;35
3;3;4;3;2;61;88;7;34;18
3;3;4;2;1;74;56;41;32;33
3;2;4;4;1;65;92;34;51;1
4;3;4;4;1;41;103;12;54;27
4;4;4;4;3;68;90;2;8;12
3;4;3;4;2;43;57;3;37;7
4;3;4;2;2;41;56;15;42;22
1;4;4;2;2;61;72;7;13;14
4;4;4;4;3;56;46;10;37;1
4;3;4;4;3;59;70;6;49;4
1;3;4;3;2;74;91;26;44;46
4;2;1;1;2;41;58;9;23;16
4;2;4;1;2;42;60;23;12;24
4;4;4;4;3;78;73;22;7;7
4;3;4;4;2;80;111;44;51;35
3;3;4;4;3;83;51;11;30;38
4;3;4;3;2;83;60;39;10;2
4;4;4;4;3;64;92;3;50;24
4;4;4;4;3;64;79;15;48;53
4;4;4;1;2;40;67;16;52;20
4;3;4;1;2;74;52;33;44;32
2;4;4;4;3;75;47;8;31;49
4;3;4;4;3;89;58;9;25;13
3;3;4;2;3;62;97;2;17;9
2;2;4;4;2;81;79;3;21;8
4;1;1;1;3;64;79;17;30;17
4;2;1;4;2;69;66;5;43;42
4;4;4;4;2;41;73;7;40;46
1;3;4;4;2;60;36;3;14;1
4;3;4;4;2;48;71;13;53;19
1;1;4;1;1;58;78;14;9;18
4;4;4;4;3;38;80;25;33;18
4;2;4;4;3;37;44;4;46;9
3;2;4;1;2;33;85;5;39;6
4;4;4;4;3;59;74;5;32;21
4;4;4;4;3;50;50;25;32;1
4;4;4;4;2;40;52;18;28;20
4;4;4;4;3;52;57;3;8;0
4;4;4;4;3;59;64;9;35;1
1;1;4;4;1;58;42;22;56;36
1;1;4;4;1;62;41;0;10;38
1;1;4;4;1;53;50;6;25;8
1;1;4;4;1;87;66;20;25;4
3;1;4;4;1;52;83;7;25;12
1;1;4;4;1;71;51;37;11;24
1;1;4;4;1;65;70;8;23;14
1;1;4;4;2;37;72;5;21;9
1;1;4;4;1;62;66;7;14;15
1;1;4;4;1;30;56;7;43;7
1;1;4;4;1;80;53;13;49;21
1;1;4;4;1;65;57;3;33;8
1;1;4;4;2;79;82;21;32;28
1;1;4;4;1;112;48;29;30;23
1;1;4;4;1;67;66;2;33;0
1;1;4;4;2;31;66;20;49;25
2;2;4;4;2;80;74;2;7;59
1;1;4;4;1;63;85;20;42;19
